id,nombre,popularity,artista,pais,genero
282,Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",HR,NULL
283,Led,50,"Miach, Grše",HR,NULL
284,Passenger Princess,6,"Aminé, Smino",HR,NULL
285,Ako ne znaš šta je bilo,48,"Marko Perković Thompson, Hrvatske ruže",HR,NULL
286,Last Night In Kingston,3,Konan,HR,NULL
287,Die With A Smile,96,"Lady Gaga, Bruno Mars",HR,NULL
288,Party Jumpin’,2,"Jamie Brown, Marshmello",HR,NULL
289,Ankaran,51,"Hiljson Mandela, Biba",HR,NULL
290,Babylon - Live,4,Tamino,HR,NULL
291,Japan,52,"Jala Brat, Buba Corelli",HR,NULL
292,DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",HR,NULL
293,7ICE,53,"Sajfer, Jala Brat, Buba Corelli",HR,NULL
294,Dead Flowers,0,Boldy James,HR,NULL
295,Palme,51,"Ano, Mili",HR,NULL
296,Rid Of Me - Live,3,Still Woozy,HR,NULL
297,KISS,44,Baks,HR,NULL
298,Family Feud - Live at The Ford,2,FINNEAS,HR,NULL
299,Die With A Smile,96,"Lady Gaga, Bruno Mars",BA,NULL
300,Circles,7,SAINt JHN,BA,NULL
301,BIRDS OF A FEATHER,93,Billie Eilish,BA,alt-pop
302,04:30,7,"Haze, Mucco",BA,NULL
303,Not Like Us,92,Kendrick Lamar,BA,MySpotigramBot
304,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,BA,NULL
305,That’s So True,91,Gracie Abrams,BA,love at first listen
306,Passenger Princess,6,"Aminé, Smino",BA,NULL
307,Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",BA,NULL
308,Hurt,12,OneRepublic,BA,NULL
309,APT.,91,"ROSÉ, Bruno Mars",BA,NULL
310,123 (feat. Yasin),2,"Cherrie, Yasin",BA,NULL
311,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",BA,NULL
312,EA2 (The Beginning of the Era),1,Lil Uzi Vert,BA,NULL
313,WILDFLOWER,90,Billie Eilish,BA,edu e marco
314,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",BA,NULL
315,Sailor Song,89,Gigi Perez,BA,indie folk
316,Rodeo (Remix),9,"Lah Pat, Flo Milli",BA,NULL
317,"Good Luck, Babe!",89,Chappell Roan,BA,synthpop
318,Horror Story,0,"Tay Savage, Rah Swish",BA,NULL
319,luther (with sza),89,"Kendrick Lamar, SZA",BA,NULL
320,Babylon - Live,4,Tamino,BA,NULL
321,luther (with sza),88,"Kendrick Lamar, SZA",BA,NULL
322,Yasak Aşk / Aşk-ı Memnu - Live,0,"Toygar Işıklı, Break of Reality",BA,NULL
323,DENIAL IS A RIVER,88,Doechii,BA,Hip-Hop
324,Dead Flowers,0,Boldy James,BA,NULL
325,Si Antes Te Hubiera Conocido,87,KAROL G,BA,latin
326,Family Feud - Live at The Ford,2,FINNEAS,BA,NULL
327,APT.,87,"ROSÉ, Bruno Mars",BA,NULL
328,Postcards - Acoustic Version,1,Mackenzy Mackay,BA,NULL
329,squabble up,87,Kendrick Lamar,BA,hyphy
330,Aimer à moitié,2,Calema,BA,NULL
331,Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",BA,NULL
332,Kalt wie Eis (feat. Tommy),0,"Ciro, Tommy",BA,NULL
333,"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",BA,NULL
334,Lindo Momento,21,Julliany Souza,BA,NULL
335,Like Him (feat. Lola Young),86,"Tyler, The Creator, Lola Young",BA,NULL
336,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",BA,NULL
337,Messy,86,Lola Young,BA,indie rock
338,Seu Astral / Mistérios,11,Fiorella,BA,NULL
339,blue,86,yung kai,BA,indie
340,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,BA,NULL
