nombre,popularity,artista,pais,genero
Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",SI,NULL
MAKAROV,56,"Jala Brat, Buba Corelli",SI,NULL
Uzi The Earthling! (TV Show Theme),0,Lil Uzi Vert,SI,NULL
BLUR,55,"Jala Brat, Buba Corelli",SI,NULL
Poca Fe (En vivo desde Santiago),0,Cami,SI,NULL
BASS,61,"Jala Brat, Buba Corelli",HR,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,HR,NULL
"Anđeo - From ""Sram""",57,"Miach, Hiljson Mandela",HR,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,HR,NULL
BLAKA BLAKA,60,"Jala Brat, Buba Corelli, Elena",HR,NULL
Aimer à moitié,2,Calema,HR,NULL
SEXDRIVE,59,"Jala Brat, Buba Corelli",HR,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",HR,NULL
KEHLANI,58,"Jala Brat, Buba Corelli",HR,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",HR,NULL
VRATI JE TATI,56,"Jala Brat, Buba Corelli",HR,NULL
Hurt,11,OneRepublic,HR,NULL
Bez Koda,56,"Jala Brat, Buba Corelli",HR,NULL
04:30,7,"Haze, Mucco",HR,NULL
Bajadeira,52,"Peki, Hiljson Mandela",HR,NULL
Circles,7,SAINt JHN,HR,NULL
Voice,57,Nucci,HR,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",HR,NULL
KINGSTON,56,"Jala Brat, Buba Corelli",HR,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",HR,NULL
BLUR,55,"Jala Brat, Buba Corelli",HR,NULL
Standard,6,"Einar, A36",HR,NULL
Fantazija,55,"Grše, Miach",HR,NULL
Она любила музыку,0,"Dima Bilan, Nataliya Vlasova",HR,NULL
MAKAROV,56,"Jala Brat, Buba Corelli",HR,NULL
Gyal Dem Time (feat. Teejay),0,"Shaggy, Teejay",HR,NULL
Mangio Pasta,53,"Peki, Grše",HR,NULL
Delli (feat. Adel),0,"Ricky Rich, Adel",HR,NULL
Žrla Frla,53,"Crni Cerak, Cunami Flo, Neloe",HR,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,HR,NULL
Ganga i Rera,49,"Peki, Vojko V",HR,NULL
Little Window - Live Studio Session,3,FINNEAS,HR,NULL
Forza,53,Grše,HR,NULL
Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",HR,NULL
Led,50,"Miach, Grše",HR,NULL
Passenger Princess,5,"Aminé, Smino",HR,NULL
Ako ne znaš šta je bilo,49,"Marko Perković Thompson, Hrvatske ruže",HR,NULL
Last Night In Kingston,3,Konan,HR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",HR,NULL
Party Jumpin’,3,"Jamie Brown, Marshmello",HR,NULL
Ankaran,51,"Hiljson Mandela, Biba",HR,NULL
Babylon - Live,3,Tamino,HR,NULL
Japan,53,"Jala Brat, Buba Corelli",HR,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",HR,NULL
7ICE,53,"Sajfer, Jala Brat, Buba Corelli",HR,NULL
Dead Flowers,0,Boldy James,HR,NULL
Palme,51,"Ano, Mili",HR,NULL
Rid Of Me - Live,3,Still Woozy,HR,NULL
KISS,45,Baks,HR,NULL
Family Feud - Live at The Ford,2,FINNEAS,HR,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",BA,NULL
Circles,7,SAINt JHN,BA,NULL
BIRDS OF A FEATHER,93,Billie Eilish,BA,NULL
04:30,7,"Haze, Mucco",BA,NULL
Not Like Us,92,Kendrick Lamar,BA,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,BA,NULL
That’s So True,92,Gracie Abrams,BA,NULL
Passenger Princess,5,"Aminé, Smino",BA,NULL
Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",BA,NULL
Hurt,11,OneRepublic,BA,NULL
APT.,91,"ROSÉ, Bruno Mars",BA,NULL
123 (feat. Yasin),2,"Cherrie, Yasin",BA,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",BA,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,BA,NULL
WILDFLOWER,90,Billie Eilish,BA,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",BA,NULL
Sailor Song,89,Gigi Perez,BA,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",BA,NULL
"Good Luck, Babe!",89,Chappell Roan,BA,NULL
Horror Story,0,"Tay Savage, Rah Swish",BA,NULL
luther (with sza),89,"Kendrick Lamar, SZA",BA,NULL
Babylon - Live,3,Tamino,BA,NULL
luther (with sza),88,"Kendrick Lamar, SZA",BA,NULL
Yasak Aşk / Aşk-ı Memnu - Live,0,"Toygar Işıklı, Break of Reality",BA,NULL
DENIAL IS A RIVER,88,Doechii,BA,NULL
Dead Flowers,0,Boldy James,BA,NULL
Si Antes Te Hubiera Conocido,88,KAROL G,BA,NULL
Family Feud - Live at The Ford,2,FINNEAS,BA,NULL
APT.,87,"ROSÉ, Bruno Mars",BA,NULL
Postcards - Acoustic Version,1,Mackenzy Mackay,BA,NULL
squabble up,87,Kendrick Lamar,BA,NULL
Aimer à moitié,2,Calema,BA,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",BA,NULL
Kalt wie Eis (feat. Tommy),0,"Ciro, Tommy",BA,NULL
"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",BA,NULL
Lindo Momento,22,Julliany Souza,BA,NULL
Like Him (feat. Lola Young),87,"Tyler, The Creator, Lola Young",BA,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",BA,NULL
Messy,86,Lola Young,BA,NULL
Seu Astral / Mistérios,12,Fiorella,BA,NULL
blue,86,yung kai,BA,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,BA,NULL
Qué Pasaría...,86,"Rauw Alejandro, Bad Bunny",BA,NULL
Selfmade Babylon,7,"Bausa, Bozza",BA,NULL
Taste,86,Sabrina Carpenter,BA,NULL
Standard,6,"Einar, A36",BA,NULL
Loco,86,Neton Vega,BA,NULL
Tussi Code Mari,5,"Marcianeke, Crismj",BA,NULL
Who,86,Jimin,BA,NULL
Pasatiempo,5,"La China, ECKO",BA,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",ME,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,ME,NULL
BIRDS OF A FEATHER,93,Billie Eilish,ME,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",ME,NULL
Not Like Us,92,Kendrick Lamar,ME,NULL
Delli (feat. Adel),0,"Ricky Rich, Adel",ME,NULL
