,nombre,popularity,artista,pais,genero
217,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",IE,NULL
218,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",IE,NULL
219,My Love a Piece of My Love (feat. Snoop Dogg),0,"Abel The Kid, Julio Iglesias Jr.",IE,NULL
220,Work Song,70,Hozier,IE,soul
221,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,IE,NULL
222,Budapest,78,George Ezra,IE,folk
223,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,IE,NULL
224,Locked out of Heaven,85,Bruno Mars,IE,pop
225,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,IE,NULL
226,Just the Way You Are,78,Bruno Mars,IE,pop
227,Let Me Love You (Until You Learn To Love Yourself) - Director's Cut (Explicit),0,Ne-Yo,IE,NULL
228,Titanium (feat. Sia),61,"David Guetta, Sia",IE,NULL
229,Iré tras de ti,0,Mr.,IE,NULL
230,Ho Hey,77,The Lumineers,IE,indie
231,Il fait chaud,0,Patrick Sébastien,IE,fiesta
232,Only Girl (In The World),79,Rihanna,IE,pop
233,Lågsus (feat. Medina),0,"Specktors, Medina",IE,NULL
234,Story of My Life,81,One Direction,IE,pop
235,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,IE,NULL
236,Money Trees,79,"Kendrick Lamar, Jay Rock",IE,NULL
237,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",IE,NULL
238,Night Changes,83,One Direction,IE,pop
239,The Real Slim Shady - Edited,0,Eminem,IE,NULL
240,I Wanna Be Yours,86,Arctic Monkeys,IE,indie rock
241,Smile,0,"Abel The Kid, Julio Iglesias Jr.",IE,NULL
242,LoveHate Thing (feat. Sam Dew),60,"Wale, Sam Dew",IE,NULL
243,G.U.Y. - An ARTPOP Film,0,Lady Gaga,IE,gaga
244,Counting Stars,82,OneRepublic,IE,pop rock
245,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,IE,NULL
246,Stubborn Love,72,The Lumineers,IE,folk
247,好不好,0,Evan Yo,IE,fabulous boys
248,No Role Modelz,81,J. Cole,IE,MySpotigramBot
249,Hardkor i disko,0,Sofa,IE,indie
250,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",LT,NULL
251,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,LT,NULL
252,Sweater Weather,85,The Neighbourhood,LT,indie
253,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,LT,NULL
254,Perlai,39,Sel,LT,pop
255,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,LT,NULL
256,Nes Aš Tik Vėjas,39,Sel,LT,pop
257,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,LT,NULL
258,Les,79,Childish Gambino,LT,Hip-Hop
259,Bede Z Toba - Hangout Live,2,Lemon,LT,NULL
260,Money Trees,79,"Kendrick Lamar, Jay Rock",LT,NULL
261,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,LT,NULL
262,I Wanna Be Yours,86,Arctic Monkeys,LT,indie rock
263,Polished Stone Live at the Electric Ballroom 6/9/99,0,Blur,LT,NULL
264,Lovers Rock,82,TV Girl,LT,indie pop
265,Bede Z Toba,9,Lemon,LT,NULL
266,LVL,76,A$AP Rocky,LT,rap
267,Plastic Dreams 2003,2,JayDee,LT,NULL
268,No Role Modelz,81,J. Cole,LT,MySpotigramBot
269,Ballada o Janku Wisniewskim,1,Kazik,LT,rock
270,Champagne Coast,71,Blood Orange,LT,chillwave
271,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,LT,NULL
272,i was all over her,77,salvia palth,LT,shoegaze
273,Iré tras de ti,0,Mr.,LT,NULL
274,Swimming Pools (Drank),77,Kendrick Lamar,LT,Hip-Hop
275,Il fait chaud,0,Patrick Sébastien,LT,fiesta
276,Do I Wanna Know?,82,Arctic Monkeys,LT,indie rock
277,Lågsus (feat. Medina),0,"Specktors, Medina",LT,NULL
278,Stolen Dance,75,Milky Chance,LT,indie
279,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",LT,NULL
280,Heartbeat,77,Childish Gambino,LT,Hip-Hop
281,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,LT,NULL
282,No. 1 Party Anthem,84,Arctic Monkeys,LT,indie rock
283,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",LT,NULL
284,My Love,72,"Route 94, Jess Glynne",LT,NULL
285,The Real Slim Shady - Edited,0,Eminem,LT,NULL
286,Ne Vakar,36,Sel,LT,House
287,Smile,0,"Abel The Kid, Julio Iglesias Jr.",LT,NULL
288,She Will,75,"Lil Wayne, Drake",LT,NULL
289,G.U.Y. - An ARTPOP Film,0,Lady Gaga,LT,gaga
290,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",LT,NULL
291,好不好,0,Evan Yo,LT,fabulous boys
292,Why'd You Only Call Me When You're High?,80,Arctic Monkeys,LT,indie rock
293,Samba Pras Moças,0,Mariene De Castro,LT,NULL
294,Fashion Killa,75,A$AP Rocky,LT,rap
295,Hardkor i disko,0,Sofa,LT,indie
296,The Spins,78,"Mac Miller, Empire Of The Sun",LT,NULL
297,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",LT,NULL
298,Laikas Keistis,35,G&G Sindikatas,LT,NULL
299,Losing You,0,Revolver,LT,fip
300,Sweater Weather,85,The Neighbourhood,LV,indie
301,Plastic Dreams 2003,2,JayDee,LV,NULL
302,LVL,76,A$AP Rocky,LV,rap
303,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,LV,NULL
304,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",LV,NULL
305,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,LV,NULL
306,No Role Modelz,81,J. Cole,LV,MySpotigramBot
307,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,LV,NULL
308,Money Trees,79,"Kendrick Lamar, Jay Rock",LV,NULL
309,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,LV,NULL
310,I Wanna Be Yours,86,Arctic Monkeys,LV,indie rock
311,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,LV,NULL
312,Fashion Killa,75,A$AP Rocky,LV,rap
313,Bede Z Toba,9,Lemon,LV,NULL
314,She Will,75,"Lil Wayne, Drake",LV,NULL
315,Bede Z Toba - Hangout Live,2,Lemon,LV,NULL
316,Les,79,Childish Gambino,LV,Hip-Hop
317,Ballada o Janku Wisniewskim,1,Kazik,LV,rock
318,Swimming Pools (Drank),77,Kendrick Lamar,LV,Hip-Hop
319,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,LV,NULL
320,Lovers Rock,82,TV Girl,LV,indie pop
321,Iré tras de ti,0,Mr.,LV,NULL
322,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",LV,NULL
323,Il fait chaud,0,Patrick Sébastien,LV,fiesta
324,The Spins,78,"Mac Miller, Empire Of The Sun",LV,NULL
325,Lågsus (feat. Medina),0,"Specktors, Medina",LV,NULL
326,Stolen Dance,75,Milky Chance,LV,indie
327,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",LV,NULL
328,Love Me,80,"Lil Wayne, Drake, Future",LV,NULL
