,nombre,popularity,artista,pais,genero
345,Wind Song,0,Revolver,PL,indie
346,Bez Strachu,54,Paluch,PL,Paluch
347,Invisibili,0,Ape Escape,PL,NULL
348,Young And Beautiful,80,Lana Del Rey,PL,indie
349,My Love a Piece of My Love (feat. Snoop Dogg),0,"Abel The Kid, Julio Iglesias Jr.",PL,NULL
350,Sweater Weather,85,The Neighbourhood,RO,indie
351,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,RO,NULL
352,Piesa Mea Preferată,47,"Vescan, Kamelia",RO,NULL
353,Il fait chaud,0,Patrick Sébastien,RO,fiesta
354,I Wanna Be Yours,86,Arctic Monkeys,RO,indie rock
355,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,RO,NULL
356,Love Me,80,"Lil Wayne, Drake, Future",RO,NULL
357,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,RO,NULL
358,Deja Vu,45,"Grasu XXL, AMI",RO,NULL
359,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,RO,NULL
360,Minim Doi,44,Alex Velea,RO,NULL
361,Losing You,0,Revolver,RO,fip
362,Saint Tropez,49,Florin Salam,RO,mariana7889
363,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,RO,NULL
364,She Will,75,"Lil Wayne, Drake",RO,NULL
365,Second Best,0,Janosch Moldau,RO,electronic
366,Lovers Rock,82,TV Girl,RO,indie pop
367,Don't Judge Me (Dave Aude Remix) UK Video,0,"Chris Brown, Dave Audé, Christian Dwiggins",RO,NULL
368,Mr. Saxobeat - Radio Edit,71,Alexandra Stan,RO,dance
369,Bede Z Toba,9,Lemon,RO,NULL
370,Do I Wanna Know?,82,Arctic Monkeys,RO,indie rock
371,Plastic Dreams 2003,2,JayDee,RO,NULL
372,E Marfa Tare,43,Alex Velea,RO,NULL
373,Bede Z Toba - Hangout Live,2,Lemon,RO,NULL
374,No. 1 Party Anthem,84,Arctic Monkeys,RO,indie rock
