,nombre,popularity,artista,pais,genero
224,I Wanna Be Yours,86,Arctic Monkeys,BE,indie rock
225,Ehssas,0,Carole Samaha,BE,NULL
226,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",BE,NULL
227,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,BE,NULL
228,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",BE,NULL
229,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",BE,NULL
230,Timber,80,"Pitbull, Kesha",BE,NULL
231,Thoda Thoda,0,"Shreya Ghoshal, Sachin",BE,NULL
232,Demons,79,Imagine Dragons,BE,rock
233,La Cage aux oiseaux,0,Les P'tits Pierrots,BE,NULL
234,Set Fire to the Rain,77,Adele,BE,soul
235,Smile,0,"Abel The Kid, Julio Iglesias Jr.",BE,NULL
236,Je te laisserai des mots,78,Patrick Watson,BE,french
237,Libera Nos,0,"John Sheppard, The Sixteen, Harry Christophers",BE,NULL
238,Counting Stars,82,OneRepublic,BE,pop rock
239,Ballada o Janku Wisniewskim,1,Kazik,BE,rock
240,When I Was Your Man,83,Bruno Mars,BE,pop
241,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,BE,NULL
242,Grenade,77,Bruno Mars,BE,pop
243,Iré tras de ti,0,Mr.,BE,NULL
244,Rolling in the Deep,76,Adele,BE,soul
245,Lågsus (feat. Medina),0,"Specktors, Medina",BE,NULL
246,Shut Up and Dance,80,WALK THE MOON,BE,indie pop
247,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",BE,NULL
248,Stolen Dance,75,Milky Chance,BE,indie
249,The Real Slim Shady - Edited,0,Eminem,BE,NULL
250,Another Love,82,Tom Odell,LU,indie
251,Il fait chaud,0,Patrick Sébastien,LU,fiesta
252,Sweater Weather,85,The Neighbourhood,LU,indie
253,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,LU,NULL
254,A Sky Full of Stars,83,Coldplay,LU,pop
255,Losing You,0,Revolver,LU,fip
256,Just the Way You Are,78,Bruno Mars,LU,pop
257,Wind Song,0,Revolver,LU,indie
258,I Wanna Be Yours,86,Arctic Monkeys,LU,indie rock
259,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,LU,NULL
260,Locked out of Heaven,85,Bruno Mars,LU,pop
261,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,LU,NULL
262,Wake Me Up,82,Avicii,LU,electronic
263,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,LU,NULL
264,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",LU,NULL
265,Bede Z Toba,9,Lemon,LU,NULL
266,All of Me,81,John Legend,LU,rnb
267,Plastic Dreams 2003,2,JayDee,LU,NULL
268,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",LU,NULL
